
Ireland-Leinster-Dublin,1345402
Ireland-Leinster-Meath,194942
Ireland-Leinster-Wexford,149605
Ireland-Leinster-Kildare,222130	
Ireland-Leinster-Wicklow,142332
Ireland-Leinster-Louth,128375
Ireland-Leinster-Kilkenny,99118
Ireland-Leinster-Westmeath,88770
Ireland-Leinster-Laois,84732
Ireland-Leinster-Offaly,78003
Ireland-Leinster-Carlow,56875
Ireland-Leinster-Longford,40810

Ireland-Munster-Cork,542196
Ireland-Munster-Limerick,195175
Ireland-Munster-Tipperary,160441	
Ireland-Munster-Kerry,147554
Ireland-Munster-Clare,118817
Ireland-Munster-Waterford,116401

Ireland-Ulster-Antrim,618108
Ireland-Ulster-Down,531665
Ireland-Ulster-Derry,247132	
Ireland-Ulster-Tyrone,179000
Ireland-Ulster-Armagh,174792
Ireland-Ulster-Donegal,158755
Ireland-Ulster-Cavan,76092	
Ireland-Ulster-Fermanagh,61170
Ireland-Ulster-Monaghan,61273

Ireland-Connacht-Galway,258552
Ireland-Connacht-Mayo,130425
Ireland-Connacht-Sligo,65357	
Ireland-Connacht-Roscommon,64436
Ireland-Connacht-Leitrim,31972
